user_id_link	user_id	user_name	user_ta_level	user_age_range	user_sex	user_location	user_nb_contributions	user_nb_cities_visited	user_nb_helpful_votes	user_nb_photos	user_tags	restaurant_reviewed_url	review_date	review_city	review_lang	review_rating	review_title	review
https://www.tripadvisor.com/Profile/PelleH	PelleH	PelleH	6.0	35-49	man	Stockholm, Sweden	112.0	268.0	144.0	29.0	Urban Explorer	https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html	August 20, 2022	New York City, United States	en	5.0	Been to ALL NYC's steakhouses and Club A is still the best	Food is fantastic, staff is great, owner Bruno with family is very, very friendly. Must have been here 20 times over the years and their food is still the best. Had Restaurant Week yesterday ($60): sallad, Filet Mignon with potato puree and Tiramisu. All top notch as usual and their homemade steaksauce is fantastic Have been to pretty much all steakhouses in NYC: Keens, Benjamin, Club A, Delmonicos, Del Frisco, Sparks, BLT Steak/Prime, Quality Meats, Strip House, Wolfgang, Smith & Wollensky, Capital Grille, Frankie And Johnnie and a few more I don't remember and Club A is still Number 1
https://www.tripadvisor.com/Profile/Blottotravels	Blottotravels	Blottotravels	5.0	25-34	woman	Leeds, United	57.0	44.0	79.0	31.0	Thrill Seeker;Shopping Fanatic;Luxury Traveler	https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html	July 17, 2022	New York City, United States	en	5.0	Fantastic food and atmosphere	Steak was absolutely delicious here and great portion size too. Staff were really friendly as soon as we walked in and showed us to our table even though we were half an hour early for our reservation.  We also had our picture taken and a signed card from the owner to take home as a memento along with a generous complimentary dessert too.  Loved the food, wine and atmosphere here and very deserving of the no.1 NY spot on tripadvisor!
https://www.tripadvisor.com/Profile/nickt4	nickt4	nickt4	4.0	35-49	man	Miami, Florida	27.0	288.0	46.0	27.0	Foodie;Peace and Quiet Seeker;Luxury Traveler;Family Vacationer	https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html	June 2, 2022	New York City, United States	en	5.0	Outstanding	The food and service was remarkable. Every bite was memorable. Highly recommended. Can’t wait to return sometime in the near future.
https://www.tripadvisor.com/Profile/Stooge01	Stooge01	Mike E	6.0	50-64	man	Voorhees, New	127.0	72.0	32.0	30.0	Urban Explorer;60+ Traveler;Beach Goer	https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html	April 25, 2022	New York City, United States	en	5.0	What a great place for great food.	What can I say about our dinner experience. My wife and I were celebrating our 40th wedding anniversary and I wanted it to be special. From the moment we walked in, we were greeted with a very friendly and professional staff. Our table was very convenient and were served by extremely nice wait staff. The wine was terrific, the food (salmon for my wife and a steak for myself) was exceptional, and the timing couldn’t have been better. In celebration of our anniversary, the waiter brought out a plate of complimentary dessert with “Happy Anniversary” written on the perimeter. Everything was delicious and we were fortunate enough to meet the owner’s son who was very nice welcoming us to the restaurant and congratulating us on our anniversary. I conveyed our pleasure with our visit and hope to visit again. He even assisted us in hailing a cab for our trip downtown in time for our theater stay. Definitely a great place for dinner.
https://www.tripadvisor.com/Profile/guyber	guyber	guyber	3.0	35-49	man	Paris, France	14.0	10.0	38.0	6.0	Art and Architecture Lover;Luxury Traveler;Family Vacationer	https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html	March 5, 2022	New York City, United States	en	5.0	Attentive and excellent !	We have had dinner tonight at this amazing steak house, and I cannot wait to wright a review.  At fisrt, the place sends a message of being vibrant and cosy, with musiciens playing soft jazz and blues. As our experience started, service was precise and extremely attentive; the waiter was caring without excess but in a very simple and polite manner. Nothing different to expect from a restaurant one could say, however, experiences in NYC have not always showed the same. The quality of our dinner has been outstanding: we shared a starter - a crab cake- was extremely fresh and generous. The entree - a porterhouse for two- was perfectly served, at the right temperature, which is not easy when requesting beef to be bleu! Throughout our dinner, the presence and the eye of the owner - Mr Bruno Selimaj - never stopped being there, himself taking personal care of all guests well-being.  This is our seventh trip to NYC, without having being able to travel here in the past two years because of COVID, but Club A is an address we will keep in our minds for our next visit: a restaurant you must experience!
https://www.tripadvisor.com/Profile/rhunter8388	rhunter8388	Robbie H	6.0	50-64	man	Lexington, South	305.0	553.0	100.0	22.0	Foodie;60+ Traveler;Family Vacationer	https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html	December 19, 2021	New York City, United States	en	5.0	Amazing piece of meat and service!	The best steak I have ever eaten, period! The filet is 10 oz and was so tender and flavorful that I was in steak heaven. The Club A is a dining experience that you have to try if you are in the mood for a steak. The staff will treat you like family and Bruno the owner will come by your table to chat and check to make sure everything is to your liking. This is the second time I have eaten there and both times did not disappoint. I highly recommend this steak house as you will truly have a magical experience.
https://www.tripadvisor.com/Profile/shutaas	shutaas	Tomas S	5.0	25-34	man	London, United	43.0	154.0	73.0	19.0	Foodie;Urban Explorer;Thrill Seeker;Nightlife Seeker	https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html	November 11, 2021	New York City, United States	en	5.0	Must visit in New York	Amazing family owned place where they make you feel special! Been here 2 years ago and had to come back! Great steak, great service, lovely atmosphere. 5/5
https://www.tripadvisor.com/Profile/KevinLH	KevinLH	KevinLH	4.0	50-64	man	Romford, United	25.0	17.0	74.0	12.0	Like a Local;History Buff;Nature Lover;Peace and Quiet Seeker	https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html	February 12, 2020	New York City, United States	en	5.0	Special Birhday Night Out	This was chosen by my son as part of a treat for my wife and I 60th birthday. There was an excellent choice of steaks, mine was a Petite Fillet which was done to perfection and my son had a Bone in Ribeye which looked enormous. Creamed Spinach and Mac and Cheese were also ordered by our party which were also excellent. Also a good selection of wine and beers which were all served by polite and attentive staff.
https://www.tripadvisor.com/Profile/A1386THmatts	A1386THmatts	Matt S	5.0	35-49	man	Montclair, New	77.0	33.0	69.0	26.0	Art and Architecture Lover;Foodie;Family Vacationer	https://www.tripadvisor.com/Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html	February 22, 2023	New York City, United States	en	5.0	Great Italian Night	The pasta options were all delicious. We tried the Wild Boar, Eggplant and a Seafood pasta and all were very good. The Chicken Milanese with fingerling potatoes was also very good capped off with one tiramisu. All in all a good family Italian night and reasonably priced for NYC.
https://www.tripadvisor.com/Profile/GeorgeFMarkhamON	GeorgeFMarkhamON	GeorgeFMarkhamON	6.0	50-64	man	Toronto, Canada	458.0	794.0	75.0	630.0	Art and Architecture Lover;Foodie;Urban Explorer;History Buff	https://www.tripadvisor.com/Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html	February 26, 2020	New York City, United States	en	5.0	Heavenly Italian food	One of our favorite places in New York. Always delicious. Always busy. Always friendly. this night was great as usual. The Gamberi Caprese - very interesting. Bucatini Cachio Pepe - sublime. Spaghetti Neri Lobster - a feast for the palate and the eyes. The Verdure Grigliate and Patae Limone rounded out the fare. looking forward to out next adventure at Piccola Cucina.
